order_id,customer_id,restaurant_id,partner_id,order_date,order_value,company_commission,delivery_fee,delivery_time_minutes,order_status,customer_rating,customer_name,customer_city,age,gender,signup_date,restaurant_name,restaurant_city,cuisine,rating,partner_since,partner_name,partner_city,Vehicle_Types,Experience,Joining_date,payment_id,payment_method,payment_status,payment_amount,payment_date,Month,Weekday,Month_Name,Order_Size,Is_Weekend
O00001,C0104,R0089,P0023,2024-12-16,1306,261.2,20,24.0,Delivered,2.5,Kishan,Chennai,29,Female,2025-04-11,Wok & Tikka,Delhi,Biryani,good,2024-05-29,Bajraj,Delhi,Bike,1,2025-02-09,PAY00001,Credit Card,Success,1326,2024-12-16,2024-12,Monday,December,High,False
O00002,C0868,R0071,P0016,2025-07-27,362,72.4,40,55.0,Delivered,3.4,Krishna,Delhi,51,Male,2025-02-14,The Green Chutney,Mumbai,Mexican,good,2023-12-19,sanjay,Ahmedabad,Scooter,9,2023-11-09,PAY00002,UPI,Success,402,2025-07-27,2025-07,Sunday,July,Low,True
O00003,C0130,R0017,P0049,2024-11-02,800,160.0,30,40.0,Delivered,4.1,Mahek,Delhi,41,Male,2025-05-24,The Green Chutney,Pune,Biryani,good,2024-02-26,Suresh,Ahmedabad,Bike,4,2025-05-23,PAY00003,UPI,Success,830,2024-11-02,2024-11,Saturday,November,Low,True
O00004,C0867,R0011,P0010,2025-08-14,155,31.0,40,59.0,Delivered,2.8,Vivan,Pune,20,Male,2026-01-10,Curry Cartel,Delhi,North Indian,good,2025-12-22,Suresh,Bangalore,Scooter,0,2025-06-15,PAY00004,UPI,Success,195,2025-08-14,2025-08,Thursday,August,Low,False
O00005,C0157,R0085,P0037,2025-12-01,494,98.8,40,37.0,Delivered,2.8,Kishan,Ahmedabad,59,Female,2026-04-21,Naan Stop,Mumbai,South Indian,good,2023-08-16,Bajraj,Surat,Scooter,7,2025-05-02,PAY00005,Debit Card,Success,534,2025-12-01,2025-12,Monday,December,Low,False
O00006,C0835,R0041,P0026,2024-06-24,203,40.6,40,30.0,Delivered,4.5,Mudra,Mumbai,39,Female,2025-09-09,Dal Roti Wala,Surat,SizzlerItalian,good,2025-08-04,Suresh,Ahmedabad,Scooter,8,2024-03-12,PAY00006,UPI,Success,243,2024-06-24,2024-06,Monday,June,Low,False
O00007,C0120,R0059,P0005,2026-03-24,576,115.2,30,55.0,Delivered,4.4,Kishan,Delhi,27,Male,2026-06-20,The Green Chutney,Surat,SizzlerItalian,good,2026-05-26,Shiv,Ahmedabad,Bike,3,2024-12-19,PAY00007,UPI,Success,606,2026-03-24,2026-03,Tuesday,March,Low,False
O00008,C0888,R0007,P0026,2024-08-10,302,60.4,40,28.0,Delivered,3.3,Harsh,Mumbai,41,Male,2024-08-14,The Green Chutney,Delhi,Nachos,good,2023-07-15,Suresh,Ahmedabad,Scooter,8,2024-03-12,PAY00008,UPI,Success,342,2024-08-10,2024-08,Saturday,August,Low,True
O00009,C0455,R0004,P0039,2024-08-03,1453,290.6,20,35.0,Delivered,1.6,Rishi,Bangalore,18,Female,2024-07-13,Wok & Tikka,Pune,North Indian,good,2024-10-27,Shiv,Hyderabad,Scooter,6,2023-07-10,PAY00009,UPI,Success,1473,2024-08-03,2024-08,Saturday,August,High,True
O00010,C0451,R0087,P0033,2025-09-26,987,197.4,30,23.0,Delivered,3.7,Krishna,Delhi,55,Female,2025-05-09,Naan Stop,Mumbai,Pizza,good,2024-04-03,sanjay,Bangalore,Scooter,5,2024-08-29,PAY00010,Credit Card,Success,1017,2025-09-26,2025-09,Friday,September,Low,False
